Participant ID,Time,Requested Force,Tap Force
8710,450700978.3,Medium,0.342215
8710,450700980,Hard,1.03912
8710,450700981.7,Medium,0.235092
8710,450700983.3,Hard,1.19537
8710,450700985.1,Hard,1.34889
8710,450700986.7,Soft,0.0240659
8710,450700988.7,Medium,0.784041
8710,450700990.2,Medium,0.25794
8710,450700991.8,Medium,0.391592
8710,450700993.4,Hard,1.23348
8710,450700995.1,Medium,0.153786
8710,450700996.8,Hard,1.48351
8710,450701000.5,Medium,0.497426
8710,450701002.3,Hard,0.909743
8710,450701004.1,Medium,0.169464
8710,450701005.7,Soft,0.0627701
8710,450701007,Soft,0.0699973
8710,450701008.1,Soft,0.0552838
8710,450701009.1,Soft,0.0540626
8710,450701010.7,Medium,0.524735
8710,450701012.9,Hard,1.83087
8710,450701014.5,Soft,0.0322885
8710,450701016.1,Hard,1.35598
8710,450701017.5,Soft,0.0710344
8710,450701019,Medium,0.613894
8710,450701020.6,Hard,1.01075
8710,450701022.1,Hard,0.991563
8710,450701023.6,Soft,0.064081
8710,450701024.9,Soft,0.0263964
